text,label
"The restaurant fell far short of expectations, truly bad",negative
"Absolutely useless hotel, one of the worst I've seen",negative
"Such a incredible trip, I can't stop recommending it",positive
"This game was bad, I really regret it",negative
"What a terrible course, would not recommend it to anyone",negative
"This service was dull, I really regret it",negative
"I am so disappointed with this course, it was annoying",negative
"I am so disappointed with this restaurant, it was frustrating",negative
"What an delightful restaurant, highly recommend it to everyone",positive
"An fantastic experience with this hotel, will come back again",positive
"A weak experience with this book, will not come back",negative
"What a terrible movie, would not recommend it to anyone",negative
"I am so happy with this product, it was brilliant",positive
"I am so happy with this service, it was brilliant",positive
"Absolutely frustrating laptop, one of the worst I've seen",negative
"An superb experience with this book, will come back again",positive
The trip was annoying and a waste of money,negative
The album was fabulous and worth every penny,positive
"What an excellent movie, highly recommend it to everyone",positive
"What a horrible game, would not recommend it to anyone",negative
"An enjoyable experience with this phone, will come back again",positive
"I am so happy with this app, it was solid",positive
"Such a wonderful laptop, I can't stop recommending it",positive
"This book was dreadful, I really regret it",negative
"A annoying experience with this hotel, will not come back",negative
"Such a dull hotel, I can't stop complaining about it",negative
"A dull experience with this movie, will not come back",negative
"An amazing experience with this trip, will come back again",positive
The game was frustrating and a waste of money,negative
"I am so disappointed with this app, it was frustrating",negative
"Such a annoying game, I can't stop complaining about it",negative
"This product was fantastic, I really loved it",positive
"An charming experience with this movie, will come back again",positive
"Such a unpleasant book, I can't stop complaining about it",negative
"What a frustrating course, would not recommend it to anyone",negative
"I am so happy with this service, it was delightful",positive
"What a unpleasant hotel, would not recommend it to anyone",negative
"Absolutely wonderful hotel, one of the best I've seen",positive
"An solid experience with this service, will come back again",positive
"The album fell far short of expectations, truly bad",negative
"An solid experience with this laptop, will come back again",positive
"Such a fantastic hotel, I can't stop recommending it",positive
"Absolutely brilliant trip, one of the best I've seen",positive
"The service fell far short of expectations, truly terrible",negative
"A dull experience with this book, will not come back",negative
"Such a terrible service, I can't stop complaining about it",negative
"What a disappointing laptop, would not recommend it to anyone",negative
"Absolutely great movie, one of the best I've seen",positive
"An wonderful experience with this book, will come back again",positive
"I am so happy with this hotel, it was great",positive
"This course was useless, I really regret it",negative
"Absolutely terrible product, one of the worst I've seen",negative
"What a unpleasant album, would not recommend it to anyone",negative
"What a frustrating app, would not recommend it to anyone",negative
"The album fell far short of expectations, truly weak",negative
"What a mediocre service, would not recommend it to anyone",negative
"This product was horrible, I really regret it",negative
"This course was incredible, I really loved it",positive
"The trip exceeded my expectations, truly brilliant",positive
"Such a excellent phone, I can't stop recommending it",positive
"The book fell far short of expectations, truly useless",negative
"This book was impressive, I really loved it",positive
"The game fell far short of expectations, truly mediocre",negative
"What an superb hotel, highly recommend it to everyone",positive
"I am so happy with this laptop, it was amazing",positive
"Absolutely incredible service, one of the best I've seen",positive
"This service was frustrating, I really regret it",negative
"This album was useless, I really regret it",negative
"The phone exceeded my expectations, truly impressive",positive
"Such a superb show, I can't stop recommending it",positive
"The course exceeded my expectations, truly great",positive
"A awful experience with this app, will not come back",negative
"What an charming show, highly recommend it to everyone",positive
"An enjoyable experience with this show, will come back again",positive
"Such a dull trip, I can't stop complaining about it",negative
"What an superb laptop, highly recommend it to everyone",positive
"What a bad album, would not recommend it to anyone",negative
"The hotel fell far short of expectations, truly annoying",negative
The game was poor and a waste of money,negative
"What an solid product, highly recommend it to everyone",positive
"The restaurant exceeded my expectations, truly excellent",positive
"The laptop exceeded my expectations, truly great",positive
"Absolutely fabulous game, one of the best I've seen",positive
"The hotel exceeded my expectations, truly great",positive
"Absolutely superb restaurant, one of the best I've seen",positive
"An solid experience with this phone, will come back again",positive
"I am so disappointed with this game, it was poor",negative
"This phone was dreadful, I really regret it",negative
"I am so disappointed with this phone, it was mediocre",negative
"The hotel fell far short of expectations, truly horrible",negative
"Absolutely fantastic app, one of the best I've seen",positive
"The laptop exceeded my expectations, truly excellent",positive
"The show exceeded my expectations, truly excellent",positive
"A disappointing experience with this laptop, will not come back",negative
"Such a fantastic restaurant, I can't stop recommending it",positive
The product was boring and a waste of money,negative
The phone was brilliant and worth every penny,positive
"Such a terrible show, I can't stop complaining about it",negative
"Such a annoying trip, I can't stop complaining about it",negative
"What an fantastic game, highly recommend it to everyone",positive
"This hotel was annoying, I really regret it",negative
"Absolutely wonderful album, one of the best I've seen",positive
"A weak experience with this course, will not come back",negative
"This restaurant was disappointing, I really regret it",negative
"The game exceeded my expectations, truly outstanding",positive
"What a terrible game, would not recommend it to anyone",negative
"Such a mediocre product, I can't stop complaining about it",negative
"A terrible experience with this phone, will not come back",negative
"The trip fell far short of expectations, truly terrible",negative
"What a unpleasant app, would not recommend it to anyone",negative
"What an impressive restaurant, highly recommend it to everyone",positive
"An superb experience with this app, will come back again",positive
"An great experience with this book, will come back again",positive
"This album was impressive, I really loved it",positive
"Absolutely superb trip, one of the best I've seen",positive
"Such a awful phone, I can't stop complaining about it",negative
"A boring experience with this course, will not come back",negative
"An wonderful experience with this laptop, will come back again",positive
"This book was excellent, I really loved it",positive
"An enjoyable experience with this album, will come back again",positive
"What a boring hotel, would not recommend it to anyone",negative
The phone was fantastic and worth every penny,positive
"The laptop fell far short of expectations, truly annoying",negative
"This movie was fantastic, I really loved it",positive
"I am so happy with this laptop, it was outstanding",positive
"Such a amazing hotel, I can't stop recommending it",positive
"Absolutely useless product, one of the worst I've seen",negative
"The service exceeded my expectations, truly impressive",positive
"Such a boring show, I can't stop complaining about it",negative
"This service was fabulous, I really loved it",positive
The product was excellent and worth every penny,positive
"An amazing experience with this phone, will come back again",positive
"What a dull movie, would not recommend it to anyone",negative
"Absolutely frustrating album, one of the worst I've seen",negative
The show was weak and a waste of money,negative
"A dull experience with this trip, will not come back",negative
The phone was mediocre and a waste of money,negative
"What a dreadful hotel, would not recommend it to anyone",negative
"An wonderful experience with this service, will come back again",positive
"What a disappointing restaurant, would not recommend it to anyone",negative
"The product fell far short of expectations, truly frustrating",negative
"The service exceeded my expectations, truly wonderful",positive
"Absolutely charming service, one of the best I've seen",positive
"I am so happy with this show, it was charming",positive
"What a dull service, would not recommend it to anyone",negative
"Absolutely amazing trip, one of the best I've seen",positive
"The album exceeded my expectations, truly delightful",positive
The show was boring and a waste of money,negative
"Absolutely boring game, one of the worst I've seen",negative
The restaurant was poor and a waste of money,negative
"Such a fantastic app, I can't stop recommending it",positive
"What an solid phone, highly recommend it to everyone",positive
"An enjoyable experience with this laptop, will come back again",positive
"I am so happy with this show, it was wonderful",positive
"A annoying experience with this restaurant, will not come back",negative
"The movie fell far short of expectations, truly mediocre",negative
The show was annoying and a waste of money,negative
"An wonderful experience with this app, will come back again",positive
"Absolutely solid movie, one of the best I've seen",positive
The trip was superb and worth every penny,positive
"I am so disappointed with this course, it was boring",negative
"The book fell far short of expectations, truly horrible",negative
"Such a wonderful product, I can't stop recommending it",positive
"I am so disappointed with this course, it was awful",negative
"This app was fabulous, I really loved it",positive
"A dull experience with this game, will not come back",negative
The hotel was dull and a waste of money,negative
"The movie fell far short of expectations, truly horrible",negative
"What a useless trip, would not recommend it to anyone",negative
"An wonderful experience with this product, will come back again",positive
"This phone was brilliant, I really loved it",positive
The phone was unpleasant and a waste of money,negative
"The laptop fell far short of expectations, truly weak",negative
"This laptop was solid, I really loved it",positive
"Absolutely amazing app, one of the best I've seen",positive
"Such a superb hotel, I can't stop recommending it",positive
"A dull experience with this show, will not come back",negative
"Such a incredible phone, I can't stop recommending it",positive
"Such a boring product, I can't stop complaining about it",negative
"This phone was excellent, I really loved it",positive
"The show exceeded my expectations, truly fabulous",positive
"This show was bad, I really regret it",negative
"This trip was unpleasant, I really regret it",negative
The app was horrible and a waste of money,negative
"The restaurant fell far short of expectations, truly awful",negative
"Such a incredible show, I can't stop recommending it",positive
"The product exceeded my expectations, truly fabulous",positive
"An solid experience with this restaurant, will come back again",positive
"An amazing experience with this app, will come back again",positive
"Absolutely dreadful show, one of the worst I've seen",negative
"What a useless book, would not recommend it to anyone",negative
"I am so disappointed with this laptop, it was horrible",negative
"Absolutely dull course, one of the worst I've seen",negative
"Absolutely weak album, one of the worst I've seen",negative
"The book exceeded my expectations, truly great",positive
"An delightful experience with this game, will come back again",positive
"Such a mediocre game, I can't stop complaining about it",negative
The show was charming and worth every penny,positive
"I am so disappointed with this book, it was unpleasant",negative
"The product exceeded my expectations, truly wonderful",positive
"A frustrating experience with this album, will not come back",negative
"Such a wonderful album, I can't stop recommending it",positive
"What a disappointing app, would not recommend it to anyone",negative
"I am so disappointed with this book, it was awful",negative
"This movie was frustrating, I really regret it",negative
"The app fell far short of expectations, truly dull",negative
"This phone was boring, I really regret it",negative
"This trip was bad, I really regret it",negative
"What a annoying show, would not recommend it to anyone",negative
"This hotel was bad, I really regret it",negative
"This movie was amazing, I really loved it",positive
"Absolutely delightful show, one of the best I've seen",positive
"I am so happy with this product, it was enjoyable",positive
"Absolutely mediocre laptop, one of the worst I've seen",negative
"A dull experience with this restaurant, will not come back",negative
"Absolutely unpleasant book, one of the worst I've seen",negative
"This restaurant was dull, I really regret it",negative
"An solid experience with this product, will come back again",positive
"I am so happy with this app, it was fantastic",positive
The book was incredible and worth every penny,positive
"This show was solid, I really loved it",positive
"Absolutely outstanding book, one of the best I've seen",positive
"What a annoying product, would not recommend it to anyone",negative
"The game fell far short of expectations, truly frustrating",negative
"Such a unpleasant movie, I can't stop complaining about it",negative
The trip was dull and a waste of money,negative
"What an brilliant trip, highly recommend it to everyone",positive
The app was frustrating and a waste of money,negative
"Absolutely terrible hotel, one of the worst I've seen",negative
The trip was delightful and worth every penny,positive
"A boring experience with this app, will not come back",negative
"What an wonderful phone, highly recommend it to everyone",positive
"I am so disappointed with this game, it was mediocre",negative
"What an solid hotel, highly recommend it to everyone",positive
"Absolutely outstanding laptop, one of the best I've seen",positive
"What a bad book, would not recommend it to anyone",negative
The trip was dreadful and a waste of money,negative
The game was great and worth every penny,positive
The course was boring and a waste of money,negative
"The hotel fell far short of expectations, truly dreadful",negative
The laptop was dreadful and a waste of money,negative
The product was dull and a waste of money,negative
"Such a weak book, I can't stop complaining about it",negative
"Absolutely excellent game, one of the best I've seen",positive
"Absolutely weak app, one of the worst I've seen",negative
"This trip was wonderful, I really loved it",positive
The restaurant was outstanding and worth every penny,positive
The restaurant was great and worth every penny,positive
"Absolutely useless movie, one of the worst I've seen",negative
"What an enjoyable show, highly recommend it to everyone",positive
"I am so happy with this trip, it was enjoyable",positive
"The product exceeded my expectations, truly amazing",positive
"Absolutely horrible phone, one of the worst I've seen",negative
The hotel was wonderful and worth every penny,positive
"This product was brilliant, I really loved it",positive
"Absolutely dull product, one of the worst I've seen",negative
"The phone fell far short of expectations, truly frustrating",negative
"This app was solid, I really loved it",positive
"Absolutely dreadful movie, one of the worst I've seen",negative
"Such a dreadful restaurant, I can't stop complaining about it",negative
"Such a delightful game, I can't stop recommending it",positive
"This phone was fantastic, I really loved it",positive
"The phone fell far short of expectations, truly poor",negative
"This phone was bad, I really regret it",negative
"This app was annoying, I really regret it",negative
"The trip exceeded my expectations, truly enjoyable",positive
"The course exceeded my expectations, truly delightful",positive
"The product fell far short of expectations, truly boring",negative
"I am so happy with this game, it was fantastic",positive
"I am so happy with this show, it was delightful",positive
"An fantastic experience with this album, will come back again",positive
"The album exceeded my expectations, truly charming",positive
"The app fell far short of expectations, truly frustrating",negative
The album was boring and a waste of money,negative
"Absolutely bad movie, one of the worst I've seen",negative
"I am so disappointed with this movie, it was weak",negative
The app was fabulous and worth every penny,positive
"This restaurant was superb, I really loved it",positive
"This laptop was disappointing, I really regret it",negative
"Absolutely delightful album, one of the best I've seen",positive
"I am so happy with this movie, it was fantastic",positive
"Absolutely dreadful app, one of the worst I've seen",negative
"Absolutely unpleasant restaurant, one of the worst I've seen",negative
"A mediocre experience with this service, will not come back",negative
"The book fell far short of expectations, truly awful",negative
"I am so disappointed with this app, it was mediocre",negative
"What an brilliant book, highly recommend it to everyone",positive
"What a disappointing product, would not recommend it to anyone",negative
"This app was boring, I really regret it",negative
"This trip was mediocre, I really regret it",negative
The laptop was great and worth every penny,positive
The trip was outstanding and worth every penny,positive
The app was wonderful and worth every penny,positive
The course was outstanding and worth every penny,positive
"Such a impressive book, I can't stop recommending it",positive
"What an solid book, highly recommend it to everyone",positive
"Such a awful restaurant, I can't stop complaining about it",negative
"This album was incredible, I really loved it",positive
"What a terrible laptop, would not recommend it to anyone",negative
The product was terrible and a waste of money,negative
"This service was outstanding, I really loved it",positive
"What an fabulous book, highly recommend it to everyone",positive
"This album was weak, I really regret it",negative
The course was delightful and worth every penny,positive
"I am so disappointed with this book, it was dull",negative
"This app was wonderful, I really loved it",positive
"Such a unpleasant album, I can't stop complaining about it",negative
"Absolutely wonderful app, one of the best I've seen",positive
"An great experience with this phone, will come back again",positive
"I am so happy with this album, it was excellent",positive
"The service fell far short of expectations, truly mediocre",negative
"An fantastic experience with this service, will come back again",positive
"A horrible experience with this laptop, will not come back",negative
"A dreadful experience with this hotel, will not come back",negative
"This service was mediocre, I really regret it",negative
"Such a charming laptop, I can't stop recommending it",positive
"Absolutely terrible laptop, one of the worst I've seen",negative
"What a boring phone, would not recommend it to anyone",negative
The course was frustrating and a waste of money,negative
"An brilliant experience with this trip, will come back again",positive
"What a boring show, would not recommend it to anyone",negative
The app was dull and a waste of money,negative
"I am so disappointed with this game, it was weak",negative
"What an impressive album, highly recommend it to everyone",positive
"Such a solid hotel, I can't stop recommending it",positive
"This book was weak, I really regret it",negative
"I am so disappointed with this app, it was weak",negative
"Such a brilliant product, I can't stop recommending it",positive
"An amazing experience with this movie, will come back again",positive
"The phone exceeded my expectations, truly great",positive
"Absolutely disappointing phone, one of the worst I've seen",negative
The album was incredible and worth every penny,positive
"Absolutely brilliant show, one of the best I've seen",positive
"What a poor phone, would not recommend it to anyone",negative
"What a dull course, would not recommend it to anyone",negative
"Absolutely disappointing book, one of the worst I've seen",negative
"The game exceeded my expectations, truly wonderful",positive
The laptop was boring and a waste of money,negative
"Absolutely annoying phone, one of the worst I've seen",negative
"This hotel was mediocre, I really regret it",negative
"This album was disappointing, I really regret it",negative
"Absolutely poor book, one of the worst I've seen",negative
"Absolutely enjoyable product, one of the best I've seen",positive
"This book was fabulous, I really loved it",positive
"An outstanding experience with this laptop, will come back again",positive
"The movie exceeded my expectations, truly enjoyable",positive
The laptop was useless and a waste of money,negative
The app was amazing and worth every penny,positive
"I am so happy with this album, it was wonderful",positive
"This trip was awful, I really regret it",negative
"Such a outstanding app, I can't stop recommending it",positive
"Such a fantastic service, I can't stop recommending it",positive
"The app exceeded my expectations, truly impressive",positive
"The service fell far short of expectations, truly poor",negative
The book was great and worth every penny,positive
"A disappointing experience with this phone, will not come back",negative
The restaurant was useless and a waste of money,negative
"I am so happy with this service, it was excellent",positive
The phone was horrible and a waste of money,negative
"Such a fabulous movie, I can't stop recommending it",positive
The service was amazing and worth every penny,positive
"What an amazing hotel, highly recommend it to everyone",positive
"I am so disappointed with this show, it was disappointing",negative
"A horrible experience with this trip, will not come back",negative
"What an fantastic trip, highly recommend it to everyone",positive
The phone was fabulous and worth every penny,positive
"This game was impressive, I really loved it",positive
The book was dull and a waste of money,negative
"I am so happy with this phone, it was superb",positive
"Such a amazing app, I can't stop recommending it",positive
The product was charming and worth every penny,positive
The book was mediocre and a waste of money,negative
"The service exceeded my expectations, truly great",positive
"An great experience with this app, will come back again",positive
"What a awful course, would not recommend it to anyone",negative
"I am so disappointed with this album, it was dull",negative
"Such a boring hotel, I can't stop complaining about it",negative
"Such a boring course, I can't stop complaining about it",negative
"I am so disappointed with this phone, it was poor",negative
The game was solid and worth every penny,positive
"What a dreadful laptop, would not recommend it to anyone",negative
"Absolutely mediocre trip, one of the worst I've seen",negative
"Absolutely superb app, one of the best I've seen",positive
The show was brilliant and worth every penny,positive
"Absolutely fantastic laptop, one of the best I've seen",positive
"I am so disappointed with this album, it was mediocre",negative
"Absolutely horrible restaurant, one of the worst I've seen",negative
"Such a unpleasant hotel, I can't stop complaining about it",negative
"Such a impressive restaurant, I can't stop recommending it",positive
"Absolutely incredible album, one of the best I've seen",positive
"Absolutely fantastic phone, one of the best I've seen",positive
"The show exceeded my expectations, truly great",positive
"A horrible experience with this service, will not come back",negative
The hotel was awful and a waste of money,negative
"I am so disappointed with this product, it was mediocre",negative
"Absolutely poor phone, one of the worst I've seen",negative
"I am so disappointed with this hotel, it was disappointing",negative
"I am so happy with this movie, it was solid",positive
"Such a incredible service, I can't stop recommending it",positive
"Absolutely great show, one of the best I've seen",positive
"What an outstanding laptop, highly recommend it to everyone",positive
"What an outstanding product, highly recommend it to everyone",positive
The service was poor and a waste of money,negative
"What a useless show, would not recommend it to anyone",negative
"Absolutely awful hotel, one of the worst I've seen",negative
"This laptop was useless, I really regret it",negative
"This service was boring, I really regret it",negative
"The movie fell far short of expectations, truly dreadful",negative
"This game was mediocre, I really regret it",negative
"This trip was solid, I really loved it",positive
"I am so disappointed with this game, it was dull",negative
The product was dreadful and a waste of money,negative
The game was boring and a waste of money,negative
"What a boring trip, would not recommend it to anyone",negative
"Such a disappointing show, I can't stop complaining about it",negative
"Absolutely mediocre app, one of the worst I've seen",negative
"Absolutely fantastic game, one of the best I've seen",positive
"The album exceeded my expectations, truly fabulous",positive
"The product fell far short of expectations, truly horrible",negative
The book was unpleasant and a waste of money,negative
"This show was great, I really loved it",positive
"An delightful experience with this course, will come back again",positive
"This album was fantastic, I really loved it",positive
"Such a outstanding trip, I can't stop recommending it",positive
"I am so happy with this product, it was wonderful",positive
"The book exceeded my expectations, truly fantastic",positive
"Such a amazing album, I can't stop recommending it",positive
"Absolutely delightful hotel, one of the best I've seen",positive
"This hotel was great, I really loved it",positive
"Absolutely awful show, one of the worst I've seen",negative
"I am so happy with this trip, it was delightful",positive
"Such a awful app, I can't stop complaining about it",negative
The movie was wonderful and worth every penny,positive
"An outstanding experience with this trip, will come back again",positive
"I am so disappointed with this product, it was annoying",negative
"Such a dull app, I can't stop complaining about it",negative
"What a mediocre restaurant, would not recommend it to anyone",negative
"What an impressive course, highly recommend it to everyone",positive
"Such a impressive game, I can't stop recommending it",positive
"Absolutely weak product, one of the worst I've seen",negative
"Such a fantastic album, I can't stop recommending it",positive
"Such a weak album, I can't stop complaining about it",negative
"I am so disappointed with this trip, it was weak",negative
"I am so disappointed with this trip, it was unpleasant",negative
"The restaurant fell far short of expectations, truly weak",negative
The service was disappointing and a waste of money,negative
"An wonderful experience with this game, will come back again",positive
"What an charming app, highly recommend it to everyone",positive
"I am so happy with this album, it was impressive",positive
"Such a great phone, I can't stop recommending it",positive
